Address bin	- bin	- hex	- R/W	- content of memory bus

1111111100000000 - 65280 - FF00 - R - D8
1111111100000001 - 65281 - FF01 - R - 58
1111111100000001 - 65281 - FF01 - R - 58
1111111100000010 - 65282 - FF02 - R - A0
1111111100000010 - 65282 - FF02 - R - A0
1111111100000011 - 65283 - FF03 - R - 7F
1111111100000100 - 65284 - FF04 - R - 8C
1111111100000101 - 65285 - FF05 - R - 12
1111111100000110 - 65286 - FF06 - R - D0
1101111100010010 - 57106 - DF12 - R - EA
1111111100000111 - 65287 - FF07 - R - A9
1111111100001000 - 65288 - FF08 - R - A7
1111111100001001 - 65289 - FF09 - R - 8D
1111111100001010 - 65290 - FF0A - R - 11
1111111100001011 - 65291 - FF0B - R - D0
1101111100010001 - 57105 - DF11 - R - EA
1111111100001100 - 65292 - FF0C - R - 8D
1111111100001101 - 65293 - FF0D - R - 13
1111111100001110 - 65294 - FF0E - R - D0
1101111100010011 - 57107 - DF13 - R - EA
1111111100001111 - 65295 - FF0F - R - C9
1111111100010000 - 65296 - FF10 - R - DF
1111111100010001 - 65297 - FF11 - R - F0
1111111100010010 - 65298 - FF12 - R - 13
1111111100010011 - 65299 - FF13 - R - C9
1111111100010100 - 65300 - FF14 - R - 9B
1111111100010101 - 65301 - FF15 - R - F0
1111111100010110 - 65302 - FF16 - R - 3
1111111100010111 - 65303 - FF17 - R - C8
1111111100011000 - 65304 - FF18 - R - 10
1111111100011000 - 65304 - FF18 - R - 10
1111111100011001 - 65305 - FF19 - R - F
1111111100011010 - 65306 - FF1A - R - A9
1111111100011011 - 65307 - FF1B - R - DC
1111111100011100 - 65308 - FF1C - R - 20
1111111100011101 - 65309 - FF1D - R - EF
0000111101110110 - 3958 - F76 - R - EA
0000111101110110 - 3958 - F76 - R - EA
0000111101110101 - 3957 - F75 - R - EA
1111111100011110 - 65310 - FF1E - R - FF
1111111111101111 - 65519 - FFEF - R - 2C
1111111111110000 - 65520 - FFF0 - R - 12
1111111111110001 - 65521 - FFF1 - R - D0
1101111100010010 - 57106 - DF12 - R - EA
1111111111110010 - 65522 - FFF2 - R - 30
1111111111110011 - 65523 - FFF3 - R - FB
1111111111110100 - 65524 - FFF4 - R - 8D
1111111111101111 - 65519 - FFEF - R - 2C
1111111111110000 - 65520 - FFF0 - R - 12
1111111111110001 - 65521 - FFF1 - R - D0
1101111100010010 - 57106 - DF12 - R - EA
1111111111110010 - 65522 - FFF2 - R - 30
1111111111110011 - 65523 - FFF3 - R - FB
1111111111110100 - 65524 - FFF4 - R - 8D
1111111111101111 - 65519 - FFEF - R - 2C
1111111111110000 - 65520 - FFF0 - R - 12
1111111111110001 - 65521 - FFF1 - R - D0
1101111100010010 - 57106 - DF12 - R - EA
1111111111110010 - 65522 - FFF2 - R - 30
1111111111110011 - 65523 - FFF3 - R - FB
1111111111110100 - 65524 - FFF4 - R - 8D
1111111111101111 - 65519 - FFEF - R - 2C
1111111111110000 - 65520 - FFF0 - R - 12
1111111111110001 - 65521 - FFF1 - R - D0
1101111100010010 - 57106 - DF12 - R - EA
1111111111110010 - 65522 - FFF2 - R - 30
1111111111110011 - 65523 - FFF3 - R - FB
1111111111110100 - 65524 - FFF4 - R - 8D
1111111111101111 - 65519 - FFEF - R - 2C
1111111111110000 - 65520 - FFF0 - R - 12
1111111111110001 - 65521 - FFF1 - R - D0
1101111100010010 - 57106 - DF12 - R - EA
1111111111110010 - 65522 - FFF2 - R - 30
1111111111110011 - 65523 - FFF3 - R - FB
1111111111110100 - 65524 - FFF4 - R - 8D
1111111111101111 - 65519 - FFEF - R - 2C
1111111111110000 - 65520 - FFF0 - R - 12
1111111111110001 - 65521 - FFF1 - R - D0
1101111100010010 - 57106 - DF12 - R - EA
1111111111110010 - 65522 - FFF2 - R - 30
1111111111110011 - 65523 - FFF3 - R - FB
1111111111110100 - 65524 - FFF4 - R - 8D
1111111111101111 - 65519 - FFEF - R - 2C
